"ID","fixedChildProducts","fixedChildCategories","displayName_en","displayName_fr_CA","description_en","description_fr_CA","paDocumentsFileNames","altText","titleText","active","seoDescription_en","seoDescription_fr_CA","seo_keywords_en","seo_keywords_fr_CA","seoTitle_en","seoTitle_fr_CA","seoUrlSlug"
"340-020-025-010","PA0009167214,PA0009167206,PA0009167198,PA0009167131,PA0009167123,PA0009167115,PA0008642472,PA0008323867,PA0008323842,PA0008323834,PA0008323826,PA0008323818,PA0008145377","","Filtration Accessories","Accessoires de filtration d’eau",,,"340-020-025-010_banner.jpg","Filtration Accessories","Filtration Accessories","True",,,,,"Filtration Accessories","Accessoires de filtration d’eau","340-020-025-010 Filtration Accessories"
"340-020-025-020","PA0009225038,PA0008644155,PA0008642456,PA0008323800,PA0008145369","","Water Filtration System","Systèmes de filtration d’eau",,,"340-020-025-020_banner.jpg,340-020-025-020.jpg","Water Filtration System","Water Filtration System","True",,,,,"Water Filtration System","Systèmes de filtration d’eau","340-020-025-020 Water Filtration System"
"340-020-030-010","PA0009341520,PA0008887242,PA0008887234,PA0008644320,PA0008644312,PA0008644304,PA0008581993,PA0008581977,PA0008131799,PA0008131781,PA0008085201","","Pressure Tanks","Réservoirs sous pression",,,"340-020-030-010_banner.jpg","Pressure Tanks","Pressure Tanks","True",,,,,"Pressure Tanks","Réservoirs sous pression","340-020-030-010 Pressure Tanks"
"340-020-030-015","PA0008963506,PA0008963498,PA0008963480,PA0008906463,PA0008906455,PA0008906448","","Water Bladders","Réservoirs d’eau souples",,,"340-020-030-015_banner.jpg,340-020-030-015.jpg","Water Bladders","Water Bladders","False",,,,,"Water Bladders","Réservoirs d’eau souples","340-020-030-015 Water Bladders"
"340-020-030-020","PA0009351289,PA0009351271","","Water Tanks","Réservoirs d'eau",,,"","Water Tanks","Water Tanks","True",,,,,"Water Tanks","Réservoirs d'eau","340-020-030-020 Water Tanks"
"340-040-005-005","PA0009164526,PA0008945206,PA0008678310,PA0008092041,PA0000770061","","Thermostats","Thermostats",,,"340-040-005-005.jpg","Thermostats","Thermostats","True",,,,,"Thermostats","Thermostats","340-040-005-005 Thermostats"
"340-040-010-005","PA0009398900,PA0009398892,PA0009272139,PA0008774911,PA0008664310,PA0008663932,PA0008663916,PA0008644593","","Air Movers","Appareils aérauliques",,,"","Air Movers","Air Movers","True",,,,,"Air Movers","Appareils aérauliques","340-040-010-005 Air Movers"
"340-040-010-010","PA0008915712,PA0008915704,PA0008915696,PA0008711178,PA0008699191","","Axial Fans","Ventilateurs axiaux",,,"340-040-010-010.jpg","Axial Fans","Axial Fans","True",,,,,"Axial Fans","Ventilateurs axiaux","340-040-010-010 Axial Fans"
"340-040-010-015","PA0009096454,PA0009096447,PA0008978652,PA0008912388,PA0008442949,PA0008052599","","Blower Fans","Soufflantes",,,"340-040-010-015.jpg","Blower Fans","Blower Fans","True",,,,,"Blower Fans","Soufflantes","340-040-010-015 Blower Fans"
"340-040-010-020","PA0009307489,PA0009307471,PA0009178393,PA0009178385,PA0009176082,PA0009066697,PA0009006123,PA0009006115,PA0009006107,PA0008965311,PA0008676934,PA0000771733,PA0000771113","","Ceiling Fans","Ventilateurs de plafond",,,"","Ceiling Fans","Ceiling Fans","True",,,,,"Ceiling Fans","Ventilateurs de plafond","340-040-010-020 Ceiling Fans"
